entry_date,exit_date,direction,entry_price,exit_price,underlying_pnl,pnl_pct,theta_cost,confidence
2025-12-22,2025-12-22,CALL,80.0,28181.0,351.2625,0.2,0.015,0.60740924
2025-12-22,2025-12-23,CALL,62.0,28343.0,456.14516129032256,0.2,0.015,0.6061195
2025-12-23,2025-12-24,CALL,63.0,28620.0,453.2857142857143,0.2,0.015,0.61266977
2025-12-24,2025-12-24,CALL,77.0,28544.0,369.7012987012987,0.2,0.015,0.60675216
2025-12-26,2025-12-26,CALL,68.0,28744.0,421.70588235294116,0.2,0.015,0.611762
2025-12-26,2025-12-29,CALL,72.0,28708.0,397.72222222222223,0.2,0.015,0.6073068
2025-12-29,2025-12-30,CALL,158.0,28786.0,181.18987341772151,0.2,0.015,0.6016012
2025-12-30,2025-12-31,CALL,80.0,28888.0,360.1,0.2,0.015,0.6094445
2025-12-31,2026-01-02,CALL,75.0,29009.0,385.7866666666667,0.2,0.015,0.6095516
2026-01-02,2026-01-02,CALL,95.0,29473.0,309.2421052631579,0.2,0.015,0.6075504
2026-01-02,2026-01-05,CALL,80.0,29737.0,370.7125,0.2,0.015,0.6070922
2026-01-05,2026-01-05,CALL,85.0,30474.0,357.5176470588235,0.2,0.015,0.60910606
2026-01-05,2026-01-06,CALL,94.0,30487.0,323.32978723404256,0.2,0.015,0.6071708
2026-01-06,2026-01-06,CALL,147.0,30639.0,207.42857142857142,0.2,0.015,0.6088618
2026-01-08,2026-01-08,CALL,125.0,30580.0,243.64,0.2,0.015,0.6088618
2026-01-09,2026-01-09,CALL,109.0,30618.0,279.89908256880733,0.2,0.015,0.6038306
2026-01-12,2026-01-12,CALL,45.0,30960.0,687.0,0.2,0.015,0.61180925
2026-01-13,2026-01-13,CALL,125.0,30874.0,245.992,0.2,0.015,0.6090435
2026-01-13,2026-01-14,CALL,121.0,30956.0,254.83471074380165,0.2,0.015,0.60932225
2026-01-14,2026-01-14,CALL,123.0,31220.0,252.8211382113821,0.2,0.015,0.6079769
2026-01-14,2026-01-15,CALL,128.0,30953.0,240.8203125,0.2,0.015,0.6039024
2026-01-15,2026-01-15,CALL,115.0,31085.0,269.30434782608694,0.2,0.015,0.6038864
2026-01-16,2026-01-16,CALL,8.0,31700.0,3961.5,0.2,0.015,0.61222166
2026-01-16,2026-01-16,CALL,62.0,31615.0,508.9193548387097,0.2,0.015,0.60407686
2026-01-19,2026-01-19,CALL,217.0,31786.0,145.47926267281105,0.2,0.015,0.6113591
2026-01-19,2026-01-20,CALL,125.0,31895.0,254.16,0.2,0.015,0.6068276
2026-01-20,2026-01-20,CALL,43.0,31735.0,737.0232558139535,0.2,0.015,0.6116919
2026-01-21,2026-01-21,CALL,146.0,31478.0,214.6027397260274,0.2,0.015,0.6043912
2026-01-21,2026-01-21,CALL,45.0,31484.0,698.6444444444444,0.2,0.015,0.61222124
2026-01-22,2026-01-22,CALL,61.0,32235.0,527.4426229508197,0.2,0.015,0.6051181
2026-01-22,2026-01-23,CALL,50.0,32066.0,640.32,0.2,0.015,0.61181706
2026-01-23,2026-01-23,CALL,48.0,48.0,0.0,-0.03,0.015,0.60425305
2026-01-26,2026-01-26,CALL,235.0,32378.0,136.77872340425532,0.2,0.015,0.606515
2026-01-26,2026-01-26,CALL,129.0,32181.0,248.46511627906978,0.2,0.015,0.60728264
2026-01-26,2026-01-27,CALL,237.0,32482.0,136.0548523206751,0.2,0.015,0.6108161
